QuestionID,Question,Answer,Explanation,Counter
1,"Your company intends to subscribe to an Azure support plan. 
The support plan must allow for new support requests to be opened. 
Which of the following are support plans that will allow this?
A. Basic
B. Developer
C. Standard
D. Professional Direct
E. Premier",BCD,All Azure support plans except for the Basicand the Premier plan allow for the opening of new support requests. The Basic plan offers only limited support for billing and subscription management issues and does not include technical support for services. Premier support plans are being phased out and are no longer available for new customers,0
2,"Your company has datacenters in Los Angeles and New York. The company has a Microsoft Azure subscription.
You are configuring the two datacenters as geo-clustered sites for site resiliency.
You need to recommend an Azure storage redundancy option.
You have the following data storage requirements:
- Data must be stored on multiple nodes.
- Data must be stored on nodes in separate geographic locations.
- Data can be read from the secondary location as well as from the primary location
Which of the following Azure stored redundancy options should you recommend?
A. Geo-redundant storage
B. Read-only geo-redundant storage
C. Zone-redundant storage
D. Locally redundant storage",B,"Geo-redundant storage (with GRS or GZRS) replicates your data to another physical location in the secondary region to protect against regional outages.However, that data is available to be read only if the customer or Microsoft initiates a failover from the primary to secondary region. When you enable read access to the secondary region, your data is available to be read at all times, including in a situation where the primary region becomes unavailable. For read access to the secondary region, enable read-access geo-redundant storage (RA-GRS) or read-access geo-zone-redundant storage (RA-GZRS).",0
3,"Your company's Azure subscription includes a Basic support plan. 
They would like to request an assessment of an Azure environment's design from Microsoft. 
This is, however, not supported by the existing plan. 
You want to make sure that the company subscribes to a support plan that allows this functionality, while keeping expenses to a minimum. 
Solution: You recommend that the company subscribes to the Professional Direct support plan. Does the solution meet the goal?
A. Yes
B. No",B,"The solution does not meet the goal of keeping expenses to a minimum. The Professional Direct support plan is a higher-tier support plan that incurs additional costs compared to the Basic support plan. While the Professional Direct support plan does provide access to design assessments from Microsoft, it may not be the most cost-effective option for the company. It would be more appropriate to recommend a support plan that includes design assessments but still keeps expenses low, such as the Developer or Standard support plans.",0
4,"You are tasked with deploying Azure virtual machines for your company.
You need to make use of the appropriate cloud deployment solution.
Solution: You should make use of Software as a Service (SaaS).
Does the solution meet the goal?
A. Yes
B. No",B,"The solution does not meet the goal. Software as a Service (SaaS) is a cloud computing model where software applications are delivered over the internet. It typically refers to using web-based applications provided by a third-party vendor. However, in this scenario, the goal is to deploy Azure virtual machines, which is an Infrastructure as a Service (IaaS) offering. With IaaS, you can deploy and manage virtual machines in the cloud, giving you more control over the infrastructure layer. Therefore, the appropriate cloud deployment solution in this case would be Infrastructure as a Service (IaaS), not Software as a Service (SaaS).",0
5,"You are tasked with deploying Azure virtual machines for your company.
You need to make use of the appropriate cloud deployment solution.
Solution: You should make use of Platform as a Service (PaaS).
Does the solution meet the goal?
A. Yes
B. No",B,"Platform as a service refers to cloud computing services that supply an on-demand environment for developing, testing, delivering, and managing software applications. PaaS is designed to make it easier for developers to quickly create web or mobile apps, without worrying about setting up or managing the underlying infrastructure of servers, storage, network, and databases needed for development. However, in this scenario, the goal is to deploy Azure virtual machines, which is an Infrastructure as a Service (IaaS) offering. With IaaS, you can deploy and manage virtual machines in the cloud, giving you more control over the infrastructure layer. ",0
6,"You are tasked with deploying Azure virtual machines for your company.
You need to make use of the appropriate cloud deployment solution.
Solution: You should make use of Infrastructure as a Service (IaaS).
Does the solution meet the goal?
A. Yes
B. No",A,"With IaaS, you can deploy and manage virtual machines in the cloud, giving you more control over the infrastructure layer. ",0
7,"Your developers have created 10 web applications that must be host on Azure.
You need to determine which Azure web tier plan to host the web apps. The web tier plan must meet the following requirements:
- The web apps will use custom domains.
- The web apps each require 10 GB of storage.
- The web apps must each run in dedicated compute instances.
- Load balancing between instances must be included.
- Costs must be minimized.
Which web tier plan should you use?
A. Standard
B. Basic
C. Free
D. Shared",A,"Standard tier support Custom Domains, Disk Space of 50GB wich is more than enough for the requested plan, and as long as they want to run each web app in a dedicated instance, that means we need 10 dedicated instances for the 10 web apps with a load-balancing service between them, the basic plan only support up to 3 dedicated instances. Finally the Standard plan has the lowest cost compared to Premuim and Isolated pricing tiers.",0
8,"You are planning to migrate a company to Azure. Each of the company's numerous divisions will have an administrator in place to manage the Azure resources used by their respective division.
You want to make sure that the Azure deployment you employ allows for Azure to be segmented for the divisions, while keeping administrative effort to a minimum.
Solution: You plan to make use of several Azure Active Directory (Azure AD) directories.
Does the solution meet the goal?
A. Yes
B. No",B,"Azure Active Directory (AAD) is Microsoft's cloud-based identity and access management service, helping organizations manage and secure access to applications and resources. Using multiple Azure Active Directory (AAD) instances increases complexity due to separate management, inconsistent security policies, difficulty in collaboration, and challenges in implementing single sign-on across directories.",0
9,"Your developers have created a portal web app for users in the Miami branch office. The web app will be publicly accessible and used by the Miami users to retrieve customer and product information. The web app is currently running in an on-premises test environment.
You plan to host the web app on Azure.
You need to determine which Azure web tier plan to host the web app. The web tier plan must meet the following requirements:
- The website will use the miami.weyland.com URL.
- The website will be deployed to two instances.
- SSL support must be included.
- The website requires 12 GB of storage.
- Costs must be minimized.
Which web tier plan should you use?
A. Standard
B. Basic
C. Free
D. Shared",A,"Free = 1 GB
Shared = 1 GB 
Basic = 10 GB 
Standard = 50 GB",0
10,"Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.
You are required make sure that the intended Azure solution uses the correct expenditure model.
Solution: You should recommend the use of the elastic expenditure model.
Does the solution meet the goal?
A. Yes
B. No",B,"The solution does not meet the goal. There is no specific expenditure model called the ""elastic expenditure model"" in Azure. When migrating virtual machines to an Azure pay-as-you-go subscription, the appropriate expenditure model to consider is the ""pay-as-you-go"" or ""consumption-based"" model. This means that you will be billed based on the actual usage of Azure resources, such as virtual machines, storage, and networking, on an hourly or per-minute basis. Therefore, the correct solution would be to recommend the use of the ""pay-as-you-go"" expenditure model, not the ""elastic expenditure model.""",0
